"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0044571","GO:0044571","[2Fe-2S] cluster assembly","1/1","10/17073",0.00058572014291558,0.00266502665026636,NA,"BOLA2",1
"GO:0097428","GO:0097428","protein maturation by iron-sulfur cluster transfer","1/1","13/17073",0.000761436185790387,0.00266502665026636,NA,"BOLA2",1
"GO:0016226","GO:0016226","iron-sulfur cluster assembly","1/1","26/17073",0.00152287237158089,0.00266502665026655,NA,"BOLA2",1
"GO:0031163","GO:0031163","metallo-sulfur cluster assembly","1/1","26/17073",0.00152287237158089,0.00266502665026655,NA,"BOLA2",1
"GO:0045454","GO:0045454","cell redox homeostasis","1/1","38/17073",0.00222573654307978,0.00311603116031169,NA,"BOLA2",1
"GO:0006879","GO:0006879","intracellular iron ion homeostasis","1/1","70/17073",0.00410004100041006,0.00478338116714507,NA,"BOLA2",1
"GO:0006790","GO:0006790","sulfur compound metabolic process","1/1","300/17073",0.0175716042874713,0.0175716042874713,NA,"BOLA2",1
