"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051147","GO:0051147","regulation of muscle cell differentiation","1/2","157/17073",0.0183075833302183,0.0309481176830055,NA,"SIK1",1
"GO:0043433","GO:0043433","negative regulation of DNA-binding transcription factor activity","1/2","160/17073",0.01865576294001,0.0309481176830055,NA,"SIK1",1
"GO:0035051","GO:0035051","cardiocyte differentiation","1/2","161/17073",0.0187718090864132,0.0309481176830055,NA,"SIK1",1
"GO:0006109","GO:0006109","regulation of carbohydrate metabolic process","1/2","179/17073",0.0208594663600943,0.0330478673268125,NA,"SIK1",1
"GO:0006006","GO:0006006","glucose metabolic process","1/2","186/17073",0.0216707326733196,0.0330478673268125,NA,"SIK1",1
"GO:0046890","GO:0046890","regulation of lipid biosynthetic process","1/2","186/17073",0.0216707326733196,0.0330478673268125,NA,"SIK1",1
"GO:0046777","GO:0046777","protein autophosphorylation","1/2","195/17073",0.0227132953147715,0.0337929515658796,NA,"SIK1",1
"GO:0007623","GO:0007623","circadian rhythm","1/2","200/17073",0.0232922566205181,0.0338292298536097,NA,"SIK1",1
"GO:0016051","GO:0016051","carbohydrate biosynthetic process","1/2","209/17073",0.024333954679753,0.0345202612898821,NA,"SIK1",1
"GO:0019318","GO:0019318","hexose metabolic process","1/2","224/17073",0.0260688829943596,0.0361409514239986,NA,"SIK1",1
"GO:0048738","GO:0048738","cardiac muscle tissue development","1/2","244/17073",0.0283797191298997,0.0371329735928492,NA,"SIK1",1
"GO:0045017","GO:0045017","glycerolipid biosynthetic process","1/2","245/17073",0.0284951888881593,0.0371329735928492,NA,"SIK1",1
"GO:0006814","GO:0006814","sodium ion transport","1/2","246/17073",0.0286106517846543,0.0371329735928492,NA,"SIK1",1
"GO:0005996","GO:0005996","monosaccharide metabolic process","1/2","252/17073",0.0293032850665903,0.0372395914387918,NA,"SIK1",1
"GO:0014706","GO:0014706","striated muscle tissue development","1/2","260/17073",0.0302264118504084,0.0376287984260186,NA,"SIK1",1
"GO:0048511","GO:0048511","rhythmic process","1/2","291/17073",0.0337993802015946,0.0405644348014654,NA,"SIK1",1
