"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0044571","GO:0044571","[2Fe-2S] cluster assembly","1/2","10/17073",0.00117113150646875,0.0190899094691837,NA,"BOLA2",1
"GO:0097428","GO:0097428","protein maturation by iron-sulfur cluster transfer","1/2","13/17073",0.00152233715401828,0.0190899094691837,NA,"BOLA2",1
"GO:0090209","GO:0090209","negative regulation of triglyceride metabolic process","1/2","15/17073",0.001756439943567,0.0190899094691837,NA,"SIK1",1
"GO:0045721","GO:0045721","negative regulation of gluconeogenesis","1/2","17/17073",0.00199051528606076,0.0190899094691837,NA,"SIK1",1
"GO:0010866","GO:0010866","regulation of triglyceride biosynthetic process","1/2","22/17073",0.00257558356143228,0.0190899094691837,NA,"SIK1",1
"GO:2000209","GO:2000209","regulation of anoikis","1/2","23/17073",0.00269257663121569,0.0190899094691837,NA,"SIK1",1
"GO:0043153","GO:0043153","entrainment of circadian clock by photoperiod","1/2","24/17073",0.00280956283923539,0.0190899094691837,NA,"SIK1",1
"GO:0016226","GO:0016226","iron-sulfur cluster assembly","1/2","26/17073",0.0030435146699842,0.0190899094691837,NA,"BOLA2",1
"GO:0031163","GO:0031163","metallo-sulfur cluster assembly","1/2","26/17073",0.0030435146699842,0.0190899094691837,NA,"BOLA2",1
"GO:0009648","GO:0009648","photoperiodism","1/2","27/17073",0.0031604802927131,0.0190899094691837,NA,"SIK1",1
"GO:0009649","GO:0009649","entrainment of circadian clock","1/2","29/17073",0.00339439095288008,0.0190899094691837,NA,"SIK1",1
"GO:0043276","GO:0043276","anoikis","1/2","33/17073",0.00386212993205048,0.0190899094691837,NA,"SIK1",1
"GO:0045454","GO:0045454","cell redox homeostasis","1/2","38/17073",0.00444664926633231,0.0190899094691837,NA,"BOLA2",1
"GO:0019432","GO:0019432","triglyceride biosynthetic process","1/2","41/17073",0.00479727852573741,0.0190899094691837,NA,"SIK1",1
"GO:0010830","GO:0010830","regulation of myotube differentiation","1/2","44/17073",0.00514784602927043,0.0190899094691837,NA,"SIK1",1
"GO:0090207","GO:0090207","regulation of triglyceride metabolic process","1/2","44/17073",0.00514784602927043,0.0190899094691837,NA,"SIK1",1
"GO:0006111","GO:0006111","regulation of gluconeogenesis","1/2","48/17073",0.00561517330262362,0.0190899094691837,NA,"SIK1",1
