"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"1",6.75382096054684,22.6913478501711,7.83640309721826,2.89563305622014,0.00378394577319296,1,"LOC101929627"
"2",14.093737894961,21.2191366804127,4.31924682466341,4.91269370373764,8.98335589705866e-07,0.0123116892569189,"UBE2F-SCLY"
"3",59.6223784747076,9.90569922626261,3.5649707029906,2.77862009299343,0.00545903298527778,1,"SIK1"
"4",58.6298089465967,8.02650491293795,3.19408411525095,2.51292847129899,0.0119733608729851,1,"TMEM189-UBE2V1"
"5",10.5857033487507,8.01455657795543,4.35380815505732,1.8408152799856,0.0656486328540383,1,"NPIPA7"
"6",21.0562344322114,7.68197426139723,1.86346414224356,4.12241592808346,3.7491946188794e-05,0.342551415011614,"LOC100996746"
"7",8.21394712705362,6.93623186650829,2.63338686711408,2.63395855471463,0.00843957889724152,1,"HIST2H3A"
"8",2.10652454154315,6.8446451785251,7.83761881938529,0.873306719331106,0.382495919072171,1,"NARR"
"9",2.55070794847972,6.6781609062475,6.02917692854539,1.107640559465,NA,NA,"RP4-669L17.10"
"10",2.10798523255886,6.46179162996963,3.06845294809988,2.10587932722614,0.0352148358244018,1,"CKLF-CMTM1"
"11",5.2584395437426,6.38944505087589,2.28083693222673,2.80135986952738,NA,NA,"LOC101927279"
"12",47.6315937004355,6.06528717560158,1.80373030358415,3.36263529173369,0.000772022855401737,1,"MTRNR2L1"
"13",7.21823206358068,5.93251885593049,2.6104585719483,2.2725964394458,0.0230505104066155,1,"LOC101928993"
"14",1.44315934019837,5.86014875456699,4.89756392318219,1.19654359728282,0.231484495894945,1,"CT47A12"
"15",4.63234215787042,5.72268433244187,3.45843731468077,1.65470234436506,0.0979848912990603,1,"LOC102723901"
"16",3.77134387339162,5.69693079438794,2.84731485872948,2.00080815682253,0.0454130680568636,1,"PRR20E"
"17",4.82175563873965,5.67704767380076,4.72956659600004,1.20033148039443,0.230010628306606,1,"ABHD14A-ACY1"
"18",3.95192663105311,5.63175972340447,1.47248350157594,3.82466745289643,0.000130948718576269,0.717860875235108,"LOC101927775"
"19",6.1393416892075,5.54060717247982,2.60490601873955,2.12698927816244,0.0334209740587226,1,"LOC101930033"
"20",1.14937559017425,5.53200413641173,7.07970002970844,0.781389622893323,NA,NA,"CTAGE4"
"21",6.97437211587567,5.46581295356485,3.31701659573207,1.64780995084486,0.0993916764237211,1,"LOC102723612"
"22",1.02563761602494,5.39554263302022,5.91387726663279,0.91235282535586,NA,NA,"TRNAH2"
"23",2.84972343463599,5.38342125390797,2.27959560808832,2.36156853207071,0.0181978080610575,1,"LINC00623-2"
"24",6.02988545763437,5.36778837236108,3.09146773524798,1.73632359515165,0.082506633472229,1,"NPIPA3"
"25",0.677788785279137,5.33646329354949,7.84134217812621,0.680554830069246,NA,NA,"MROH7"
"26",0.851924027297549,5.21166470446667,4.89703108276958,1.06424987229592,0.287215519746607,1,"GAGE12J"
"27",0.787420599613711,5.18406871740793,7.84198230650259,0.661066107367941,NA,NA,"USP17L17"
"28",14.8805780739044,5.18245971550395,2.27574853037168,2.27725499823021,0.0227710025741548,1,"NDUFC2-KCTD14"
"29",1.93114937647065,5.17548323004678,3.21475230862745,1.60991663841637,0.107416056145803,1,"LOC102724713"
"30",3.80195048900143,5.16244876839719,1.40323415932283,3.67896457914657,0.000234182786595739,0.821637987723194,"FOXI1"
"31",1.03401808524749,5.1439125956383,7.14256944668511,0.720176770283362,NA,NA,"HOXA10-HOXA9"
"32",8.81140909907921,5.13119443338824,1.71323641628279,2.99502998221425,0.00274417866333552,1,"LOC101928551"
"33",3.27503526909148,5.11648867691717,2.15138109496277,2.37823446942844,0.0173957606301935,1,"XAGE1E"
"34",1.98889541125166,5.06867516835245,1.83573533578643,2.76111434450382,0.00576045044895783,1,"PBK"
"35",0.979209451235375,5.03560328200869,4.24790736923046,1.18543151823033,0.235846876149956,1,"POTED"
"36",2.00848147574239,4.96161696767367,2.66240375936121,1.8635854724244,0.0623799393335876,1,"CYP4F62P"
"37",2.21606924709644,4.94104736929405,1.6099061850715,3.06915236124433,0.00214667080966241,1,"CTD-2201E9.1"
"38",1.00786380741222,4.918986710447,2.16986673459617,2.26695337184496,0.023393074300766,1,"RP11-79E3.3"
"39",3.0815901477104,4.91051867046726,1.55406288293003,3.15979406265013,0.00157880689243204,1,"KLHDC8A"
"40",1.75314002914721,4.89758527737624,1.61905668890208,3.02496219616461,0.00248664206382265,1,"BMP5"
"41",1.13784712177972,4.88543794068795,2.25912549980108,2.16253499025093,0.0305769630639669,1,"RP11-508P1.2"
"42",0.656906622188598,4.85765459266737,2.48551106774668,1.95438863890123,0.0506552732657461,1,"LOC102724274"
"43",0.882879136086913,4.85367156580494,1.82650770457646,2.6573507210748,0.00787574614490239,1,"LINC01071"
"44",2.11790789687914,4.8429586902956,1.95321110413974,2.47948554051899,0.0131572064617251,1,"LOC102724844"
"45",1.20382060958532,4.83976933764915,4.12770627568737,1.1725081714646,0.240993093326382,1,"TRNAM18"
"46",0.431670169228436,4.83904713662519,7.84370589859035,0.616933780943374,0.537278404085011,1,"LOC102724464"
"47",136.275777558107,4.83171133963351,1.22936519977457,3.9302489939682,NA,NA,"GRASP"
"48",0.923868793700034,4.7993950643456,1.8257828187009,2.62867796497314,0.00857174912574551,1,"RP11-162J8.2"
"49",1.50969676427362,4.78727422566725,1.91915616186174,2.49446830893802,0.0126145990389405,1,"SNX31"
"50",1.99202850920131,4.71403176199972,1.37523493956927,3.42780104429006,0.000608491226272193,1,"SFTPC"
"51",2.52941866178192,4.70375477473931,1.65780631699934,2.83733674223971,0.00454916048805013,1,"C7orf61"
"52",2.79394132253978,4.6695315393223,1.49703081636418,3.11919533537935,0.00181345694610893,1,"XRCC2"
"53",3.79396224859835,4.66739981406988,1.43780536358317,3.24619724775418,0.00116957773663775,1,"LOC101926931"
"54",5.80689268164792,4.65131805528479,1.54765225048882,3.00540257271339,0.00265229550630883,1,"ALAS2"
"55",103.894477390286,4.63723512761933,2.03220547250164,2.28187316212219,0.0224968297486,1,"AREG"
"56",1.02475608068535,4.63684868305525,2.4615187864097,1.88373483422339,0.059600852082193,1,"SPRR2D"
"57",3.07288700311439,4.63329442406244,2.80143968182283,1.65389762061472,0.098148316194456,1,"ANKRD20A4"
"58",2.91795724460439,4.61723661046006,1.54990975438229,2.97903577766709,0.00289157013147056,1,"RERG"
"59",1.6651840404639,4.61659942311707,1.89125974240917,2.44101818464991,0.0146459172572886,1,"LOC392364"
"60",1.39508583396617,4.61421205640532,1.97498032000963,2.33633318249106,0.0194738833900563,1,"LOC440040"
"61",0.400961989011305,4.58987697241446,7.26378097241557,0.631885376203476,0.527461779800941,1,"VCX2"
"62",1.54586923957865,4.58079550829602,1.70511255100701,2.68650624006649,0.00722035995075011,1,"SLC9C2"
"63",1.48794106791322,4.58029715001292,1.85457534101038,2.46972827079517,0.0135215718587512,1,"KRT75"
"64",1.43791303018758,4.56017291255243,1.70915169369109,2.66809138673015,0.0076283505732478,1,"NGB"
"65",2.33355672628722,4.55226584446357,1.57106418587523,2.89756833959494,0.00376067795899408,1,"LNX1-AS2"
"66",1.09345870220883,4.53164180516891,1.90475191678738,2.37912442309659,0.0173538172654354,1,"LOC401442"
"67",0.952855293418169,4.52845856633081,7.84565192630381,0.577193407108518,0.563808810265951,1,"TRNAE18"
"68",1.47730074296653,4.5171756323918,1.75333520974761,2.57633315482328,0.00998543833207784,1,"RFPL1"
"69",0.657361112300525,4.50821060014737,2.49850799669474,1.80436108514011,0.0711747194176002,1,"TMEM145"
"70",2.31039526832077,4.49334506680804,1.50077156964866,2.99402331286164,0.00275324906503729,1,"AC108142.1"
"71",3.90532229485387,4.48817619293362,1.61331089529025,2.78196608355897,0.00540306862747069,1,"C14orf23"
"72",1.24202339608082,4.48658647915397,1.83609789082467,2.44354426938471,0.0145437851628602,1,"RP11-778H2.1"
"73",0.737861115107567,4.47115214085507,2.28185774913592,1.9594350886019,0.050061854771482,1,"TMPRSS11BNL"
"74",1.59984806830337,4.45040378007719,1.46524551656125,3.03730926303856,0.00238700416883141,1,"UTS2B"
"75",3.68808699119182,4.44589098698035,1.45824238620908,3.04880109714691,0.0022975654514181,1,"TKTL1"
"76",1.78182486879327,4.4428164063617,2.73588169785682,1.62390662207435,0.104395739054094,1,"TRNAL6"
"77",0.671839773782314,4.44143882832001,2.12164701863502,2.09339196827258,0.0363141788094183,1,"KRTAP16-1"
"78",0.423547034306307,4.44081807845532,2.88801892795915,1.53766931215838,0.124129490675849,1,"LOC101929021"
"79",0.434034503205067,4.43388785039171,3.03361420367172,1.46158593437003,0.143854711117094,1,"LOC102724471"
"80",1.94813527490279,4.41635179716706,1.69687007232952,2.60264581784046,0.00925074666277059,1,"CFC1"
"81",3.11678036378165,4.39460660936172,1.59982433873628,2.74693071167618,0.00601558415854918,1,"RP11-355N15.1"
"82",2.17519630198994,4.38961990892823,1.56202447247239,2.81021199493775,0.00495088772781463,1,"LOC440700"
"83",1.22044825343384,4.38341262657721,1.78889888224454,2.4503411959637,0.0142720902766616,1,"SLC22A17"
"84",0.634310310175586,4.36050476523096,2.36806692959583,1.84137733217498,0.0655662822671036,1,"LOC101927293"
"85",1.30826979730322,4.34374118605316,1.73220183277631,2.50764149065191,0.0121539911140622,1,"LOC101927721"
"86",1.64787847185044,4.34028944403472,1.71304470489399,2.5336696886164,0.0112875074760702,1,"CCR4"
"87",1.4275732538162,4.33905559128117,1.72984726917479,2.5083460653443,0.0121297806071444,1,"DDX11-AS1"
"88",0.550441886347067,4.33738642863745,2.6675077199859,1.62600707624583,0.103948150036214,1,"CXorf30"
"89",1.48874328541177,4.33374784397352,1.90274728950775,2.27762660226659,0.0227488341433461,1,"POM121L12"
"90",0.705317627318891,4.32866980706951,1.86876949178694,2.31632088713648,0.0205407547268354,1,"KCNIP2-AS1"
"91",0.602151931454358,4.31538598065515,2.40659706685758,1.79314852497929,0.0729491783085685,1,"LINC00601"
"92",2.28309258702823,4.30690431291462,1.57452096161539,2.73537438872577,0.00623093623414615,1,"FGF5"
"93",1.01396411984669,4.2961147201145,2.02078639407151,2.12596181997179,0.0335064387161493,1,"PER4"
"94",2.0753491731483,4.29433854460627,1.79338304258626,2.39454619712102,0.0166409469768949,1,"LOC101928947"
"95",0.960281172848789,4.28304588896351,2.5592477170727,1.67355659258437,0.0942177755031229,1,"LINC00620"
"96",1.87895068758749,4.26800578081083,1.5871476171013,2.68910448834352,0.00716439899003253,1,"RP11-374P20.4"
"97",4.8729483711686,4.26418967789439,1.39085461013802,3.06587737266892,0.00217032306174172,1,"ULBP1"
"98",2.89728620332204,4.2493276564151,1.49110223477621,2.84978961020258,0.00437481569697534,1,"TWIST1"
"99",0.760313827573821,4.24773953537269,2.02131508275321,2.10147322978805,0.0355994455490062,1,"LOC100506374"
