"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"1",77.6088824103386,20.6746496852985,3.77144278484752,5.48189402961721,4.20796274251342e-08,0.000576701293861465,"NUDT4P1"
"2",5.44432707815727,20.6093221777396,7.83607005591541,2.6300584388193,0.00853701916861651,1,"TRNAD8"
"3",81.5074394158362,8.57336080154644,2.94989303977885,2.90632937734895,0.00365696278451965,1,"TMEM256-PLSCR3"
"4",5.2584395437426,8.01036375812869,2.37938309538207,3.36657168560847,NA,NA,"LOC101927279"
"5",6.20400541152678,7.08900052644083,3.28489274278165,2.15806148983661,0.0309230513600838,1,"TRNAE19"
"6",8.78379886662221,7.07791649594003,2.72971055140693,2.59291831959692,0.00951653692170658,1,"DGCR6"
"7",2.10652454154315,6.89212207463304,7.83700517218812,0.879433141002857,0.379166469500646,1,"NARR"
"8",2.55070794847972,6.7257750736339,6.02889385552571,1.11559022845782,NA,NA,"RP4-669L17.10"
"9",5.58003921761641,6.63799856818695,7.8373936689984,0.846965056054823,NA,NA,"TRNAD15"
"10",2.10798523255886,6.50957965403018,3.06841215411042,2.12148151131197,0.0338813022113759,1,"CKLF-CMTM1"
"11",8.60876768714323,6.2320960309364,4.09803605550303,1.52075187883417,0.12832211443558,1,"LOC102724441"
"12",5.83296862039819,6.13510567534314,2.11052254455329,2.90691312024894,0.0036501456047877,1,"DYX1C1"
"13",2.89136285370247,6.02983982864693,3.43504163266983,1.75539061049468,0.0791925170302318,1,"GOLGA8G"
"14",1.44315934019837,5.90786203744295,4.89740985364831,1.20632379441184,0.227692666501846,1,"CT47A12"
"15",5.91761159987204,5.89861459108465,3.09297788110295,1.90709886000905,0.0565077868586395,1,"LOC388242"
"16",4.63234215787042,5.77044933333799,3.4583804993268,1.66854090649113,0.0952083985285143,1,"LOC102723901"
"17",4.82175563873965,5.72474295390011,4.72942742982402,1.21045159035523,0.226105655837782,1,"ABHD14A-ACY1"
"18",1.84921598192834,5.63495705181833,1.91748065306492,2.93872954744621,0.00329560513595597,1,"LINC00891"
"19",7.59363327371017,5.5933930613039,2.06753126004375,2.70534872647369,0.00682327176536313,1,"SPATA31A3"
"20",1.14937559017425,5.57958995949922,7.07924625589491,0.788161586391076,NA,NA,"CTAGE4"
"21",1.02563761602494,5.44321298232467,5.91361023937995,0.920455147022912,NA,NA,"TRNAH2"
"22",8.56444806833746,5.41212419076558,7.3330849114901,0.738041936795986,0.460488965537998,1,"RAB4B-EGLN2"
"23",4.855598514014,5.28638039841702,1.66584402442994,3.17339458009945,0.00150667606324296,1,"SNORD103B"
"24",1.93903802765419,5.28423083055086,1.94554838430827,2.71606240850681,0.00660634635395763,1,"CXorf49"
"25",0.787420599613711,5.23163082695166,7.8413684561005,0.667183394867959,NA,NA,"USP17L17"
"26",1.93114937647065,5.22327038759429,3.21470617882613,1.62480491125369,0.104204134254258,1,"LOC102724713"
"27",1.61711630158584,5.11705344598206,3.33794012975176,1.53299737175412,0.125276502487273,1,"NT5C1B-RDH14"
"28",2.38414899423846,5.05334619331141,1.49393706396535,3.38256966454687,0.000718110619010009,1,"LCN15"
"29",1.8836385378976,4.97141592954431,2.58716081857535,1.92157205452805,0.0546596277492729,1,"LOC101929190"
