"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"1",45.4850495273807,30.6439792602346,2.34547834749709,13.0651298882956,5.20956334067983e-39,1.2092438426386e-34,"SLX1A-SULT1A3"
"2",82.2414909566118,29.0277215106301,3.40662484727376,8.52096218750364,1.58233194558048e-17,1.8364544560407e-13,"SULT1A3"
"3",4.37061925265523,5.11742201272038,2.68698224657371,1.9045239391685,0.0568419819405986,0.550330757992105,"RPL17-C18orf32"
"4",6.71931842129341,4.82131000896488,2.91808004154195,1.6522199323968,0.0984897245400453,0.6244875011198,"LOC101929599"
"5",4.60607442384984,4.4741165346895,3.98187177643586,1.12362144887906,0.261173652880147,0.770175529289434,"TRNAD15"
"6",2.09795157869836,4.21389078728571,3.98222187007661,1.05817579350611,0.289975304920485,0.788813035337749,"MEF2B"
"7",2.24578579774351,4.04715252004858,3.98248162909963,1.01623884225263,NA,NA,"SYS1-DBNDD2"
"8",2.49814359007727,3.9809870312071,3.98259335430816,0.999596664043212,0.317505738214062,0.805106313679791,"LOC102724219"
"9",2.52868744119052,3.96453669467284,1.44669297560562,2.74041331611028,0.00613619657836669,0.319279392981445,"RBM11"
"10",2.28157262648712,3.94157596945885,0.997582743441685,3.9511268567661,7.77840777327371e-05,0.0841153392713295,"C17orf64"
"11",2.54648554187804,3.88540328523374,0.969367173687552,4.00818533028445,6.11870963878671e-05,0.0789041600752872,"CT47B1"
"12",5.39451035903596,3.8005237145241,2.92170444033526,1.30078993003413,0.193330369768108,0.719653837941675,"RAD51L3-RFFL"
"13",2.27427783460138,3.73015803747873,0.821253486390041,4.54203007877052,5.57150892094319e-06,0.0258651730145867,"FATE1"
"14",1.46708901713393,3.69812944971726,3.98313327694549,0.9284473284191,0.35317557780108,0.820595858882341,"CT47A5"
"15",2.33650918530968,3.68916677739516,0.828736954931694,4.45155336134277,8.52513416549238e-06,0.0329809023749015,"TMEM196"
"16",1.67598195965235,3.67409298268069,1.4588130157678,2.51854963108274,0.0117839274817723,0.380253665048796,"LOC102723891"
"17",1.86780020462836,3.65024583914418,0.906317300627683,4.0275583800686,5.63590760541056e-05,0.0789041600752872,"AC093690.1"
"18",1.67051943886638,3.63751111909675,3.06958831235645,1.18501595293876,0.236011139468369,0.753980737665598,"AS3MT"
"19",5.44432707815727,3.5941204376796,3.98335990936614,0.90228362976408,0.366906219362834,0.828541856717774,"TRNAD8"
"20",2.16147712966752,3.59010545645149,0.974925896530535,3.68243932100643,0.000231012864514978,0.114090864066419,"PIP5KL1"
"21",1.59895119093902,3.4788163637111,0.966982519408276,3.59760005365959,0.000321166965523265,0.133123707209393,"LINC00682"
"22",277.906995599821,3.35968720303816,1.79042489621876,1.87647480222911,0.0605901115640812,0.560478716356785,"RNVU1-18"
"23",1.08752708597994,3.26545224854124,3.98419340358918,0.819601841014933,0.412443123797389,0.846281391637482,"TCEB3CL"
"24",1.37991496320092,3.25975408676307,1.09499610783666,2.97695495302102,0.00291126782260297,0.266901358545057,"LOC102723853"
"25",3.79780681510911,3.24733218129266,0.753244432544117,4.31112669538711,1.62424803106109e-05,0.0471275566212376,"NID2"
"26",1.6128159932429,3.2373768964879,0.961407467105446,3.36733071798872,0.000758996078567269,0.214851426532969,"OR10J1"
"27",3.02020761978489,3.19732484530405,0.768152518826802,4.1623567806395,3.149796977397e-05,0.0562408364917994,"CERS3"
"28",2.24482256803679,3.19138984036857,1.33176160907156,2.39636720162961,0.0165584924907222,0.413981010104035,"CT45A3"
"29",1.92385903771953,3.18776738310263,0.908985181479083,3.50695198123644,0.000453270935336059,0.161902046537255,"LOC101929891"
"30",1.52353350039416,3.18494159320922,1.06851234199325,2.98072513347659,0.00287566775793503,0.266901358545057,"CPA6"
"31",2.01566635357019,3.18015604229221,1.50983856778224,2.10628878487549,0.0351792749100464,0.491620306569535,"PRAMEF15"
"32",1.18568816179054,3.17517474918091,1.08983471479537,2.91344614561766,0.00357463488726831,0.278815162807562,"KLK11"
"33",1.2770261118534,3.17265506768382,1.10718031859614,2.86552697369712,0.00416315804004698,0.284221248310501,"LOC102723375"
"34",1.27920224663539,3.14613832703955,1.0758681361021,2.92427874891628,0.00345255421059481,0.278815162807562,"OR52E4"
"35",1.24001211650009,3.13642910355907,2.13839830158206,1.46671885272198,0.14245255215561,0.671551126990903,"LOC101929463"
"36",3.81999281944509,3.11965557240684,0.814630569112385,3.82953413570767,0.000128386074145276,0.0841153392713295,"AURKC"
"37",2.51998161804583,3.08856454812095,0.813433012574814,3.79695008731513,0.000146487269899444,0.0850065627226472,"DKFZp686L13185"
"38",1.75318599377631,3.08641948231825,1.43834155796551,2.14581819264396,0.0318874865963046,0.479386229840299,"LOC102723724"
"39",1.82285319055424,3.07402291279155,3.0926386983023,0.993980614185236,0.320232305430037,0.805610963419956,"TSPY1"
"40",1.16417403040343,3.06833090076188,0.957495556497003,3.20453800536409,0.00135279429090879,0.229858443914263,"CRISP2"
"41",1.51138167822041,3.04746818547993,0.888742015245401,3.42896828686383,0.00060588031835476,0.187515919328676,"ACHE"
"42",1.15795832946869,3.01363658264759,1.09102801022872,2.76219909515963,0.0057413456323362,0.30992584841346,"LOC101927262"
"43",1.59953959224488,3.00913360906551,0.919402608747841,3.27292263523565,0.00106441607684321,0.229858443914263,"C14orf180"
"44",3.93775441230471,3.00307740497291,1.48663437829632,2.0200510958279,0.0433780877840266,0.51573464390278,"GOLGA8CP"
"45",1.41696927610402,2.99402910733386,1.78488671852074,1.67743368599618,0.0934577067987908,0.615695348701914,"IQCF4"
